Categoria Amazon;Produto Amazon;Categoria ML;Produto Mercado Livre;Similaridade
Alimentos e Bebidas;andorinha  azeite vidro extra virgem 500ml;Alimentos e Bebidas;azeite de oliva extra virgem andorinha 500ml;0.893
Automotivo;capacete aberto pro tork new liberty 3 solid preto fosco tam 60;Acessórios para Veículos;capacete aberto pro tork new liberty three abs micrometrico viseira simples 58cm preto fosco;0.841
Bebês;granado sabonete liquido bebe tradicional 500ml;Bebês;sabonete liquido de glicerina granado bebe tradicional 500ml;0.97
Bebês;lencos umedecidos pampers aroma de aloe vera 192 unidades;Bebês;lencos umedecidos pampers aroma de aloe vera 192 unidades;1.0
Bebês;fralda pampers recemnascido tamanho rn 36 unidades;Bebês;fraldas pampers recemnascido tamanho rn 36 unidades;0.855
Beleza Premium;cerave creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume 453g;Beleza e Cuidado Pessoal;creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume cerave 454g;0.973
Beleza Premium;la rocheposay anthelios airlicium protetor solar facial antioleosidade fps80 com controle de oleosidade efeito matte cobertura uniforme e toque seco sem cor 40g;Beleza e Cuidado Pessoal;protetor solar facial antioleosidade fps80 controle de oleosidade efeito matte cobertura uniforme toque seco sem cor anthelios airlicium la rocheposay 40g;0.992
Brinquedos e Jogos;bicicleta de equilibrio buba verde 4 rodas;Brinquedos e Hobbies;bicicleta de equilibrio 4 rodas buba bege;0.896
Casa;ype agua sanitaria 5l;Casa, Móveis e Decoração;agua sanitaria super candida 5l;0.801
Cozinha;filtrorefil original de agua acqua pure para purificador electrolux pe12ape12bpe12gpe12vpe12p;Eletrodomésticos;filtrorefil original de agua acqua pure para purificador de agua electrolux pe12ape12bpe12gpe12v;0.89
Cozinha;mondial liquidificador turbo power preto 550w 220v  l99 fb;Eletrodomésticos;liquidificador turbo power mondial 550w l99 fb preto 127v;0.909
Eletrônicos;apple iphone 16 128 gb  branco;Celulares e Telefones;apple iphone 16 256 gb  branco  distribuidor autorizado;0.91
Eletrônicos;apple iphone 15 128 gb  preto;Celulares e Telefones;apple iphone 15 128 gb  preto  distribuidor autorizado;1.0
Eletrônicos;smartphone samsung galaxy a56 5g 128gb 8gb ram camera 50mp ip67 super amoled 67 recursos ai preto;Celulares e Telefones;smartphone samsung galaxy a36 5g 128gb 6gb ram camera tripla de ate 50mp selfie de 12mp ip67 super amoled 67 nfc recursos ai android e seguranca snapdragon  verde;0.83
Eletrônicos;samsung celular galaxy a16 128gb  4gb ram camera de ate 50mp tela 67 nfc ip54 bateria 5000 mah preto;Celulares e Telefones;celular samsung galaxy a16 5g 128gb  4gb ram camera de ate 50mp tela 67  nfc ip54 bateria 5000 mah azul escuro;0.953
Instrumentos Musicais;flauta doce soprano barroca c yamaha yrs24b;Instrumentos Musicais;flauta doce yamaha barroca yrs24b kit c 20 flautas;0.926
Jardim e Piscina;karcher lavadora de alta pressao pratica black 1500 psilibras 1400w 300lh com aplicador de detergente e lanca regulavel 127v;Agro;lavadora de alta pressao karcher compacta 1500 psilibras 1400w 300lh com aplicador de detergente e lanca regulavel 127v;0.931
Livros;cafe com deus pai vol 6  2026 porcoes diarias de amor;Livros, Revistas e Comics;cafe com deus pai 2026  porcoes diarias de amor  mini copo;0.951
Livros;a psicologia financeira licoes atemporais sobre fortuna ganancia e felicidade;Livros, Revistas e Comics;livro a psicologia financeira licoes atemporais sobre fortuna ganancia e felicidade de housel morgan editora harpercollins brasil capa mole em portugues 2021;0.844
Livros;habitos atomicos um metodo facil e comprovado de criar bons habitos e se livrar dos maus idioma    portugues;Livros, Revistas e Comics;habitos atomicos um metodo facil e comprovado de criar bons habitos e se livrar dos maus james clear;0.936
Livros;365 habitos simples e poderosos;Livros, Revistas e Comics;365 habitos simples e poderosos;1.0
Livros;a arte de gastar dinheiro escolhas simples para uma vida equilibrada  do mesmo autor de a psicologia financeira;Livros, Revistas e Comics;a arte de gastar dinheiro escolhas simples para uma vida equilibrada do mesmo autor de a psicologia financeira;1.0
Livros;mulheres com deus  365 dias de fe  devocional 2026;Livros, Revistas e Comics;mulheres com deus  365 dias de fe  devocional;0.946
Livros;o homem mais rico da babilonia;Livros, Revistas e Comics;o homem mais rico da babilonia george s clason  ano 2017  editora harpercollins brasil;1.0
