Categoria Amazon;Produto Amazon;Nota Amazon;Avaliações Amazon;Produto Mercado Livre;Nota Mercado Livre;Avaliações ML;Similaridade;Nota Geral Ponderada
Beleza Premium;cerave creme hidratante corporal para pele seca a extra seca;4.8;11466;creme hidratante corporal para pele seca a extra seca com 3 ;4.9;43680;0.926;4.88
Brinquedos e Jogos;bicicleta de equilibrio buba 4 rodas;4.8;433;bicicleta de equilibrio 4 rodas buba bege;4.9;17247;1.0;4.9
Cozinha;purificador de agua gelada fria e natural eletrico compacto ;4.7;24158;purificador de agua gelada fria e natural eletronico placa c;4.8;15484;0.857;4.74
Eletrônicos;apple iphone 15 128 gb  preto;4.8;8249;apple iphone 15 verde 256 gb  distribuidor autorizado;4.9;38761;0.843;4.88
Eletrônicos;smartphone motorola moto g05128gb 12gb 4gb ram  8gb ram boos;4.7;255;smartphone motorola moto g06  128gb 12gb 4gb ram  8gb ram bo;4.9;6134;0.842;4.89
Eletrônicos;smartphone samsung galaxy a56 5g 128gb 8gb ram camera 50mp i;4.8;2928;samsung galaxy a56 5g 128gb 8gb ram verde;4.9;34652;0.842;4.89
Instrumentos Musicais;flauta doce soprano barroca c yamaha yrs24b;4.8;1894;flauta yamaha doce soprano barroca yrs24b original com capa ;4.9;1010;0.975;4.83
Livros;cafe com deus pai vol 6  2026 porcoes diarias de amor;4.9;1184;cafe com deus pai  2026  volume 6  porcoes diarias de amor  ;5.0;965;0.941;4.94
Livros;a empregada a empregada  livro 1 bemvinda a familia;4.7;38099;livro a empregada bemvinda a familia de freida mcfadden edit;4.9;2191;0.907;4.71
Livros;habitos atomicos um metodo facil e comprovado de criar bons ;4.8;25648;habitos atomicos um metodo facil e comprovado de criar bons ;4.9;7251;1.0;4.82
Livros;365 dias de amor com deus  devocional;4.7;1700;365 dias amor com deus devocional;4.9;1109;0.974;4.78
Livros;a arte de gastar dinheiro escolhas simples para uma vida equ;4.8;9230;a arte de gastar dinheiro escolhas simples para uma vida equ;5.0;594;1.0;4.81
Moda;chinelo havaianas top adultounissex;4.8;3995;chinelo havaianas masculino top max comfort anatomica macia;4.9;13721;0.86;4.88
Moda;olympikus tenis olympikus acqua feminino;4.6;6660;tenis casual feminino nyx olympikus pessego liso 34 br;4.9;3186;0.871;4.7
Saúde e Bem-Estar;vitafor  omegafor plus 120 capsulas;4.8;1806;omegafor plus 120 capsulas omega 3 vitafor;4.9;43420;0.886;4.9
