Categoria_Amazon;Categorias_ML_Correlacionadas;Produto_Amazon;ASIN_Amazon;Status
Alimentos e Bebidas;Alimentos e Bebidas;Ketchup Heinz Tradicional 1,033KG;B097BYXGXN;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Integralmedica - Barra de Proteína Whey Protein Crisp Bar Ovomaltine - Snack Proteíco - Pré e Pós-Treino - 12 Unidades;B0F2GMT6T3;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Orfeu Café Clássico em Grãos, 100% Arabica, Torra Média, 1kg;B07HDSL78H;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Doce de Leite Cremoso FLORMEL 210 Gramas;B07Y2GTX9G;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Brigadeiro de Colher FLORMEL Zero Açúcar 200 gramas;B0B6LG6C73;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Ninho Fases 1 - Fórmula Infantil, 1.2 kg (Pacote de 1);B09WTLQ53R;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Andorinha - Azeite vidro, Extra virgem, 500ml;B00P9VQCXY;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Molico Leite Em Pó Desnatado Total Cálcio 500G;B07XTJJR2J;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;YoPRO Bebida Láctea UHT Chocolate 15g de proteínas 250ml - 12 unidades;B09M2B14V7;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Café em Cápsula NESCAFÉ DOLCE GUSTO Mochaccino Canela 10 Cápsulas;B08KSVQ62G;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Baggio Café Café Torrado e Moído Aroma de Chocolate com Avelã 250g;B08VKMBSNT;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Whisky Johnnie Walker Red Label 1L;B004Q47N5G;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Baggio Café Café Torrado e Moído Aroma de Chocolate Trufado 250g;B075W7XHMY;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Aperitivo Aperol 750ml - Spritz;B07HM62BR7;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Heineken Cerveja Sleek Lata 350ml Pack 12 Unidades;B0CMXW6ZYB;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Chiclete Trident Menta Sem Açúcar - Caixa com 21 unid. de 8g;B07LGFGH8T;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Maionese Heinz Tradicional 400G;B07YN9ZY51;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Ninho Nestle Zero Lactose 700G;B081QWG9J1;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Pack de 4 Latas Red Bull Energético, Energy Drink, 250ml;B004HOEU4M;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Leite em Pó Integral Ninho 380g;B0964S52NM;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Maionese Heinz Tradicional 390G;B07YN9ZY5D;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Pringles Pack Promo Salgadinho de Batata Frita 3 Sabores - Original, Creme e Cebola e Churrasco;B0F35GPLGV;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Hart's Natural ChocoPops Australia Chocolate | Cereal Matinal Sem Adição de Açucar, Sem Glúten, Sem Lactose, Vegano | 100% Natural | Alto em Fibras | 200g;B0CX36ZMLZ;Agrupado por categoria
Alimentos e Bebidas;Alimentos e Bebidas;Batata Pringles Stranger Things Bacon 100g;B0FNPVFFKL;Agrupado por categoria
