Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;22,46;4,9;21.066;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0F2GMT6T3;Integralmedica - Barra de Proteína Whey Protein Crisp Bar Ovomaltine - Snack Proteíco - Pré e Pós-Treino - 12 Unidades;76,56;4,7;9.88;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07HDSL78H;Orfeu Café Clássico em Grãos, 100% Arabica, Torra Média, 1kg;136,99;4,7;18.562;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;14,84;4,6;3.992;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0B6LG6C73;Brigadeiro de Colher FLORMEL Zero Açúcar 200 gramas;14,84;4,4;937.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B09WTLQ53R;Ninho Fases 1 - Fórmula Infantil, 1.2 kg (Pacote de 1);69,2;4,8;9.147;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B00P9VQCXY;Andorinha - Azeite vidro, Extra virgem, 500ml;34,49;4,9;9.262;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07XTJJR2J;Molico Leite Em Pó Desnatado Total Cálcio 500G;19,99;4,8;3.004;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B09M2B14V7;YoPRO Bebida Láctea UHT Chocolate 15g de proteínas 250ml - 12 unidades;87,99;4,7;23.496;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B08KSVQ62G;Café em Cápsula NESCAFÉ DOLCE GUSTO Mochaccino Canela 10 Cápsulas;17,9;4,8;7.77;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B08VKMBSNT;Baggio Café Café Torrado e Moído Aroma de Chocolate com Avelã 250g;31,99;4,8;8.807;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B004Q47N5G;Whisky Johnnie Walker Red Label 1L;75,08;4,8;6.94;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B075W7XHMY;Baggio Café Café Torrado e Moído Aroma de Chocolate Trufado 250g;33,9;4,6;20.038;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07HM62BR7;Aperitivo Aperol 750ml - Spritz;46,9;4,8;6.041;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0CMXW6ZYB;Heineken Cerveja Sleek Lata 350ml Pack 12 Unidades;59,9;4,7;871.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07LGFGH8T;Chiclete Trident Menta Sem Açúcar - Caixa com 21 unid. de 8g;36,9;4,8;3.252;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07YN9ZY51;Maionese Heinz Tradicional 400G;12,98;4,8;7.068;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B081QWG9J1;Ninho Nestle Zero Lactose 700G;39,99;4,8;4.119;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B004HOEU4M;Pack de 4 Latas Red Bull Energético, Energy Drink, 250ml;30,2;4,8;6.756;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0964S52NM;Leite em Pó Integral Ninho 380g;19,99;4,9;8.865;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B07YN9ZY5D;Maionese Heinz Tradicional 390G;12,98;4,8;6.192;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0F35GPLGV;Pringles Pack Promo Salgadinho de Batata Frita 3 Sabores - Original, Creme e Cebola e Churrasco;9,89;4,7;4.591;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0CX36ZMLZ;Hart's Natural ChocoPops Australia Chocolate | Cereal Matinal Sem Adição de Açucar, Sem Glúten, Sem Lactose, Vegano | 100% Natural | Alto em Fibras | 200g;26,9;4,8;943.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0FNPVFFKL;Batata Pringles Stranger Things Bacon 100g;9,99;4,7;45.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0964WBFFG;Leite em Pó Ninho Integral Sachê 750g;41,99;4,8;3.758;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0D8CM9LNB;Café em Cápsula Compatível com Nespresso Nescafé Farmers Origins Brazil 10 Cápsulas;19,9;4,8;1.137;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B008X6TB08;Whisky Johnnie Walker Double Black 1L;161,1;4,7;10.787;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0CD886J99;Piracanjuba ProForce 23g de Proteínas Zero Lactose Sabor Cacau - 12 Unidades de 250ml;116,28;4,7;3.856;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B0D4RHRR3V;YoPRO Bebida Láctea UHT Morango 15g de proteínas 250ml - 12 unidades;79,9;4,8;1.72;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Amazon;B09MWN12GJ;Coffee Mais │Café Super Especial ARARA em Grãos │100% Arábica │ Torra Média │250g;30,9;4,6;2.92;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB19592782;Suplemento Tasty Whey 3w Gourmet Whey Protein Adaptogen Science Pote 900g Sabor Banana;249,00;4,9;48201.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB28005474;Whey 100% Hd Refil 900g Black Skull Sabor Morango;199,00;4,8;50021.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB15067116;Whey Protein Concentrado Pó 1,8 Kg Dux Nutrition Sabor Coco;309,80;4,9;36771.0;Alimentos e Bebidas
