Categoria Amazon;ASIN Amazon;Produto Amazon;Preço Prod Amazon;Nota Amazon;Avaliações Amazon;Link Amazon;ASIN Mercado Livre;Produto Mercado Livre;Preço Prod ML;Nota Mercado Livre;Avaliações ML;Link Mercado Livre;Similaridade_Atributos;Nota Geral Ponderada;Atributos Amazon;Atributos ML
Alimentos e Bebidas;B00P9VQCXY;Azeite De Oliva Extra Virgem Andorinha - 500ml;35,90;4.9;9727;https://www.amazon.com.br/dp/B00P9VQCXY;MLB18405804;Azeite De Oliva Extra Virgem Andorinha 500ml;34,99;4.9;32900;https://www.mercadolivre.com.br/azeite-de-oliva-extra-virgem-andorinha-500ml/p/MLB18405804;1.0;4.9;{'texto_limpo': 'azeite de oliva extra virgem andorinha 500ml', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': '500ml', 'tamanho': None, 'cor': None, 'modelo': 'azeite oliva extra virgem andorinha'};{'texto_limpo': 'azeite de oliva extra virgem andorinha 500ml', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': '500ml', 'tamanho': None, 'cor': None, 'modelo': 'azeite oliva extra virgem andorinha'}
Beleza Premium;B07XP8K162;CeraVe Creme Hidratante Corporal, para Pele Seca a Extra Seca, com 3 Ceramidas Essenciais e Ácido Hialurônico, Hidratação Profunda e Duradoura, Tecnologia MVE, Sem Perfume, 453g;92,99;4.8;1182;https://www.amazon.com.br/dp/B07XP8K162;MLB19309318;Creme Hidratante Corporal, Para Pele Seca A Extra Seca, Com 3 Ceramidas Essenciais E Ácido Hialurônico, Hidratação Profunda E Duradoura, Tecnologia Mve, Sem Perfume, Cerave, 454g;92,99;4.9;43438;https://www.mercadolivre.com.br/creme-hidratante-corporal-para-pele-seca-a-extra-seca-com-3-ceramidas-essenciais-e-acido-hialurnico-hidrataco-profunda-e-duradoura-tecnologia-mve-sem-perfume-cerave-454g/p/MLB19309318;0.933;4.9;{'texto_limpo': 'cerave creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume 453g', 'marca': 'cerave', 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': '453g', 'tamanho': None, 'cor': None, 'modelo': 'creme hidratante corporal pele seca'};{'texto_limpo': 'creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume cerave 454g', 'marca': 'cerave', 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': '454g', 'tamanho': None, 'cor': None, 'modelo': 'creme hidratante corporal pele seca'}
Casa;B076BJMK4N;Ypê Detergente Clear 5L;28,79;4.8;1799;https://www.amazon.com.br/dp/B076BJMK4N;MLB22658831;Detergente Ypê Clear 500ml Com 6 Unidades;24,90;4.9;8909;https://www.mercadolivre.com.br/detergente-yp-clear-500ml-com-6-unidades/p/MLB22658831;0.933;4.88;{'texto_limpo': 'ype detergente clear 5l', 'marca': 'ype', 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': '5l', 'tamanho': None, 'cor': None, 'modelo': 'detergente clear'};{'texto_limpo': 'detergente ype clear 500ml com 6 unidades', 'marca': 'ype', 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': '6un', 'tamanho': None, 'cor': None, 'modelo': 'detergente clear'}
Computadores e Informática;B0F1G2TL8P;Mouse Sem Fio Recarregável Wireless Bluetooth Optico Led Rgb Colorido Ergonômico Usb 2.4 Ghz Notebook Computador Pc Desktop Linha Premium - Cores Sortidas;23,65;4.5;103;https://www.amazon.com.br/dp/B0F1G2TL8P;MLB65221689;Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Homeroarte Rosa;24,32;4.8;70177;https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-homeroarte-rosa/p/MLB65221689;1.0;4.8;{'texto_limpo': 'mouse sem fio recarregavel wireless bluetooth optico led rgb colorido ergonomico usb 2 4 ghz notebook computador pc desktop linha premium cores sortidas', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': None, 'modelo': 'mouse sem fio recarregavel wireless'};{'texto_limpo': 'mouse sem fio recarregavel wireless optico led rgb ergonomico sem fio para pc desktop notebook tablet smartphone homeroarte rosa', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'rosa', 'modelo': 'mouse sem fio recarregavel wireless'}
Cozinha;B0DCKBMVH9;Mixer Power Inox 3 em 1 600W Elgin Lunar 110V - Mixer, triturador e batedor;115,90;4.6;11961;https://www.amazon.com.br/dp/B0DCKBMVH9;MLB40003206;Mixer Power Inox 3 Em 1 600w Elgin Lunar - Cinza Lunar 127v;119,80;4.8;26506;https://www.mercadolivre.com.br/mixer-power-inox-3-em-1-600w-elgin-lunar-/p/MLB40003206;0.904;4.74;{'texto_limpo': 'mixer power inox 3 em 1 600w elgin lunar 110v mixer triturador e batedor', 'marca': 'lg', 'armazenamento': None, 'ram': None, 'voltagem': '110v', 'potencia': '600w', 'quantidade': None, 'tamanho': None, 'cor': None, 'modelo': 'mixer power inox 3 1'};{'texto_limpo': 'mixer power inox 3 em 1 600w elgin lunar cinza lunar 127v', 'marca': 'lg', 'armazenamento': None, 'ram': None, 'voltagem': '127v', 'potencia': '600w', 'quantidade': None, 'tamanho': None, 'cor': 'cinza', 'modelo': 'mixer power inox 3 1'}
Cozinha;B07QK91PTZ;MONDIAL Liquidificador Turbo Power, Preto, 550W, 220V - L-99 FB;99,90;4.6;39932;https://www.amazon.com.br/dp/B07QK91PTZ;MLB15699909;Liquidificador Turbo Power Mondial 550w L-99 Wb Branco/preto 220v;152,00;4.7;271191;https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-wb/p/MLB15699909;0.965;4.69;{'texto_limpo': 'mondial liquidificador turbo power preto 550w 220v l 99 fb', 'marca': 'mondial', 'armazenamento': None, 'ram': None, 'voltagem': '220v', 'potencia': '550w', 'quantidade': None, 'tamanho': None, 'cor': 'preto', 'modelo': 'liquidificador turbo power l 99'};{'texto_limpo': 'liquidificador turbo power mondial 550w l 99 wb branco preto 220v', 'marca': 'mondial', 'armazenamento': None, 'ram': None, 'voltagem': '220v', 'potencia': '550w', 'quantidade': None, 'tamanho': None, 'cor': 'branco', 'modelo': 'liquidificador turbo power l 99'}
Eletrônicos;B0FR5NSCF7;"Smartphone Motorola Moto g06-128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.9"" - Azul Marinho";595,90;4.7;2480;https://www.amazon.com.br/dp/B0FR5NSCF7;MLB61424002;Smartphone Motorola Moto G06 - 128gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 Bege;598,50;4.9;10475;https://www.mercadolivre.com.br/smartphone-motorola-moto-g06-128gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-69/p/MLB61424002;0.969;4.86;{'texto_limpo': 'smartphone motorola moto g06 128gb 12gb 4gb ram 8gb ram boost e camera 50mp com ai bateria de 5200 mah tela 6 9 azul marinho', 'marca': 'motorola', 'armazenamento': '128gb', 'ram': '4gb', 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'azul', 'modelo': 'smartphone moto g06 ram ram'};{'texto_limpo': 'smartphone motorola moto g06 128gb 12gb 4gb ram 8gb ram boost e camera 50mp com ai bateria de 5200 mah tela 6 9 bege', 'marca': 'motorola', 'armazenamento': '128gb', 'ram': '4gb', 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'bege', 'modelo': 'smartphone moto g06 ram ram'}
Eletrônicos;B0DP3JDD6Y;"Samsung Celular Galaxy A16, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh (Preto)";790,68;4.7;6730;https://www.amazon.com.br/dp/B0DP3JDD6Y;MLB44372580;Celular Samsung Galaxy A16 128gb 4gb Ram Câmera 50mp Tela 6.7 Nfc Preto;791,10;4.9;89137;https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-128gb-4gb-ram-cmera-50mp-tela-67-nfc-preto/p/MLB44372580;1.0;4.89;{'texto_limpo': 'samsung celular galaxy a16 128gb 4gb ram camera de ate 50mp tela 6 7 nfc ip54 bateria 5000 mah preto', 'marca': 'samsung', 'armazenamento': '128gb', 'ram': '4gb', 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'preto', 'modelo': 'celular galaxy a16 ram camera'};{'texto_limpo': 'celular samsung galaxy a16 128gb 4gb ram camera 50mp tela 6 7 nfc preto', 'marca': 'samsung', 'armazenamento': '128gb', 'ram': '4gb', 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'preto', 'modelo': 'celular galaxy a16 ram camera'}
Eletrônicos;B0D9ZMKMB6;Smart TV 32” Philco PTV32K34RKGB Roku TV Led Dolby Audio;797,05;4.7;8550;https://www.amazon.com.br/dp/B0D9ZMKMB6;MLB39456212;Smart Tv 32 Philco Ptv32k34rkgb Roku Tv Led Dolby Audio;813,95;4.8;8040;https://www.mercadolivre.com.br/smart-tv-32-philco-ptv32k34rkgb-roku-tv-led-dolby-audio/p/MLB39456212;1.0;4.75;{'texto_limpo': 'smart tv 32 philco ptv32k34rkgb roku tv led dolby audio', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': None, 'modelo': 'smart tv 32 philco ptv32k34rkgb'};{'texto_limpo': 'smart tv 32 philco ptv32k34rkgb roku tv led dolby audio', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': None, 'modelo': 'smart tv 32 philco ptv32k34rkgb'}
Games e Consoles;B0F1C3MRMF;Headset Gamer Redragon Zeus Lite Preto P3 H510-LT;159,90;4.8;9640;https://www.amazon.com.br/dp/B0F1C3MRMF;MLB48468943;Headset Gamer Redragon Zeus Lite Preto P3 H510-lt Preto;158,90;4.9;3550;https://www.mercadolivre.com.br/headset-gamer-redragon-zeus-lite-preto-p3-h510-lt-preto/p/MLB48468943;1.0;4.83;{'texto_limpo': 'headset gamer redragon zeus lite preto p3 h510 lt', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'preto', 'modelo': 'headset gamer redragon zeus lite'};{'texto_limpo': 'headset gamer redragon zeus lite preto p3 h510 lt preto', 'marca': None, 'armazenamento': None, 'ram': None, 'voltagem': None, 'potencia': None, 'quantidade': None, 'tamanho': None, 'cor': 'preto', 'modelo': 'headset gamer redragon zeus lite'}
