Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço;Nota Geral;Qtd. Avaliações;País;Data Comentário;Nota Comentário;Comentário;Link
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,90;4,9;20.935;Brasil;09/01/2026;5,0;De primeira qualidade e muita economia;https://www.amazon.com.br/dp/B097BYXGXN
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;07/01/2026;5,0;Estou em tratamento de c.a e não posso comer doce(açúcar) por isso comprei este da flormel, ele é divino, cremoso e muito gostoso;https://www.amazon.com.br/dp/B07Y2GTX9G
3;3;Alimentos e Bebidas;B07HDSL78H;Orfeu Café Clássico em Grãos, 100% Arabica, Torra Média, 1kg;137,89;4,7;18.482;Brasil;05/01/2026;5,0;café top, topíssimo!! Comprei numa promoção e valeu super a pena. Tomava o Mellitta gourmet da caixa verde, mas ele é superior, ou seja, inferior a este que é o especial.;https://www.amazon.com.br/dp/B07HDSL78H
4;4;Alimentos e Bebidas;B089T37GDT;Orfeu Café Bourbon Amarelo Torrado e Moído, 100% Arabica, Torra Média Clara, 250g;26,79;4,7;1.407;Brasil;01/01/2026;5,0;Sabor, doçura e aroma excelentes, para quem aprecia um bom café arábica;https://www.amazon.com.br/dp/B089T37GDT
5;5;Alimentos e Bebidas;B0F2GMT6T3;Integralmedica - Barra de Proteína Whey Protein Crisp Bar Ovomaltine - Snack Proteíco - Pré e Pós-Treino - 12 Unidades;78,13;4,7;9.830;Brasil;11/11/2025;5,0;Ótima barra, gosto e tamanho ideal (pra mim, acho), quantidade proteica boa, só talvez um pouco dura, mas não de um jeito ruim. Comparando com outras marcas, o preço é um pouco maior, mas vale a pena.;https://www.amazon.com.br/dp/B0F2GMT6T3
6;6;Alimentos e Bebidas;B00P9VQCXY;Andorinha - Azeite vidro, Extra virgem, 500ml;34,49;4,9;9.204;Brasil;15/12/2025;5,0;Excelente custo benefício, azeite de oliva Andorinha é de excelente qualidade e uma marca de longa data no mercado.  Preço estava excelente;https://www.amazon.com.br/dp/B00P9VQCXY
7;7;Alimentos e Bebidas;B09M2B14V7;YoPRO Bebida Láctea UHT Chocolate 15g de proteínas 250ml - 12 unidades;89,10;4,7;23.453;Brasil;06/01/2026;5,0;Ótimo pós treino;https://www.amazon.com.br/dp/B09M2B14V7
8;8;Alimentos e Bebidas;B081QWG9J1;Ninho Nestle Zero Lactose 700G;39,99;4,8;4.096;Brasil;02/01/2026;5,0;Muito bom, e um ótimo custo benefício;https://www.amazon.com.br/dp/B081QWG9J1
9;9;Alimentos e Bebidas;B09JZBTWV1;Pack de Coca-Cola sem Açúcar 350Ml 6 unidades;22,14;4,8;1.844;Brasil;03/01/2026;5,0;Produto de ótima qualidade;https://www.amazon.com.br/dp/B09JZBTWV1
10;10;Alimentos e Bebidas;B09WTLQ53R;Ninho Fases 1 - Fórmula Infantil, 1.2 kg (Pacote de 1);69,20;4,8;9.102;Brasil;10/01/2026;5,0;Qualidade, prazo de entrega e sabor.Satisfeitos. Gratidão.;https://www.amazon.com.br/dp/B09WTLQ53R
11;11;Alimentos e Bebidas;B0964WBFFG;Leite em Pó Ninho Integral Sachê 750g;41,99;4,8;3.732;Brasil;10/12/2025;5,0;Produto de boa qualidade ótimo custo;https://www.amazon.com.br/dp/B0964WBFFG
12;12;Alimentos e Bebidas;B0BYTLY4K1;Pack de Monster Absolutely Zero LT 473ml - Unidade 6 unidades;53,94;4,9;446;Brasil;23/12/2025;5,0;Excelente produto;https://www.amazon.com.br/dp/B0BYTLY4K1
13;13;Alimentos e Bebidas;B0DTLN7RPP;Cerveja Corona Extra Lata 473ml - Pack com 12 unidades;61,49;4,2;76;Brasil;09/01/2026;5,0;Qualidade boa!Entrega rápida.Ótimo custo benefício.;https://www.amazon.com.br/dp/B0DTLN7RPP
14;14;Alimentos e Bebidas;B0FPRGYFCL;Achocolatado NESCAU® 2,01kg;46,90;4,9;85;Brasil;15/11/2025;5,0;Super recomendo, excelente custo benefício;https://www.amazon.com.br/dp/B0FPRGYFCL
15;15;Alimentos e Bebidas;B0F35GPLGV;Pringles Pack Promo Salgadinho de Batata Frita 3 Sabores - Original, Creme e Cebola e Churrasco;29,99;4,6;4.489;Brasil;10/12/2025;5,0;Já é a segunda vez que compro, em ambas as duas as batatas vieram quebradas,nessa segunda entrega capricharam em amassar as latas kkkkEnfim,não me incomodo de virem quebradas,mas a Amazon devia ter mais cuidado com os pacotes (não é a primeira encomenda que vem detonada,já recebi muitas assim e por sorte não foram produtos frágeis). As batatas são maravilhosas, sempre estarei recomprando pq é bem em conta pegar na promoção;https://www.amazon.com.br/dp/B0F35GPLGV
16;1;Apps e Jogos;B00992CF6W;Nome não encontrado;Preço não disponível;N/A;N/A;Brasil;19/12/2025;5,0;Muito bom;https://www.amazon.com.br/dp/B00992CF6W
17;2;Apps e Jogos;B09ML2GCMD;Nome não encontrado;6,49;N/A;N/A;Brasil;1 de março de 2025;5,0;Parou de funcionar não comprem;https://www.amazon.com.br/dp/B09ML2GCMD
18;3;Apps e Jogos;B0CPB81K88;Nome não encontrado;113,38;N/A;N/A;Brasil;03/12/2025;5,0;Minha filha adorou a brincadeira de colorir;https://www.amazon.com.br/dp/B0CPB81K88
19;4;Apps e Jogos;B0GDJXB38B;Nome não encontrado;Preço não disponível;N/A;N/A;N/A;N/A;N/A;Sem comentários disponíveis;https://www.amazon.com.br/dp/B0GDJXB38B
20;5;Apps e Jogos;B0BHF4NZSJ;Nome não encontrado;43,61;N/A;N/A;Brasil;05/06/2025;4,0;igual ao anúncio;https://www.amazon.com.br/dp/B0BHF4NZSJ
21;6;Apps e Jogos;B0CRB33MNS;Nome não encontrado;113,38;N/A;N/A;N/A;Avaliado na Alemanha em 15 de abril de 2025;N/A;TOP;https://www.amazon.com.br/dp/B0CRB33MNS
22;7;Apps e Jogos;B072J5K6F7;Nome não encontrado;43,61;N/A;N/A;Japão;10/01/2023;N/A;まぁいわゆるマイクラの劣化版;https://www.amazon.com.br/dp/B072J5K6F7
23;8;Apps e Jogos;B0DF5PLDQK;Nome não encontrado;43,61;N/A;N/A;Brasil;23/07/2025;1,0;Cancelar;https://www.amazon.com.br/dp/B0DF5PLDQK
24;9;Apps e Jogos;B00BFBSV72;Nome não encontrado;43,61;N/A;N/A;Brasil;18/06/2023;5,0;GOSTEI.;https://www.amazon.com.br/dp/B00BFBSV72
25;10;Apps e Jogos;B0DRD85GFT;Nome não encontrado;43,61;N/A;N/A;N/A;N/A;N/A;Sem comentários disponíveis;https://www.amazon.com.br/dp/B0DRD85GFT
26;11;Apps e Jogos;B0D4QFXF2D;Nome não encontrado;113,38;N/A;N/A;N/A;N/A;N/A;Sem comentários disponíveis;https://www.amazon.com.br/dp/B0D4QFXF2D
27;12;Apps e Jogos;B0BY31TH4N;Nome não encontrado;Preço não disponível;N/A;N/A;Brasil;01/02/2025;5,0;Muito bom;https://www.amazon.com.br/dp/B0BY31TH4N
28;13;Apps e Jogos;B0FQZSWQGB;Nome não encontrado;Preço não disponível;N/A;N/A;Reino Unido;02/01/2026;N/A;Awful to navigate not much content;https://www.amazon.com.br/dp/B0FQZSWQGB
29;14;Apps e Jogos;B0C8PG4M21;Nome não encontrado;Preço não disponível;N/A;N/A;N/A;Avaliado nos Estados Unidos em 13 de dezembro de 2025;N/A;A mi hija le encanto gracias;https://www.amazon.com.br/dp/B0C8PG4M21
30;15;Apps e Jogos;B0141KIMPE;Nome não encontrado;43,61;N/A;N/A;Brasil;07/08/2025;1,0;-;https://www.amazon.com.br/dp/B0141KIMPE
31;1;Automotivo;B076X7T368;Espuma Mágica Aerossol 400ml / 370g;22,43;4,5;11.730;Brasil;03/01/2026;5,0;O resultado do produto é muito satisfatório!Ainda ficaram uma marcas, mas acredito que com uma segunda aplicação resolva. De 100% tirou algo em torno de 80/85%. Tendo em observação que o o carro se encontrava com uma capa de couro a 6 anos, as marcas que ficaram pode ser encardido, mas deixando claro que o produto vale a pena!;https://www.amazon.com.br/dp/B076X7T368
32;2;Automotivo;B0CLDRS18S;WAP Aspirador de Pó Automotivo CAR 12V2, Portátil, 420ml, com Recipiente Removível e Filtro Lavável, 180W 12VDC;108,99;4,5;3.186;Brasil;28/11/2025;5,0;Aspirador bacana, super prático.Ultilizo direto na aspiração do carro.Boa potência, boa sucção. Estou muito satisfeito com a compra.;https://www.amazon.com.br/dp/B0CLDRS18S
33;3;Automotivo;B0FWNKVTSN;Protetor Solar Para-brisa, Quebra Sol Portátil, Proteção Térmica UV, Protetor Solar com Isolamento Térmico, Retrátil, Protetor Térmico Para Carro, Protetor Dobrável Preto para Carro;39,00;4,0;29;Brasil;29/12/2025;5,0;Ótimo custo benefício, realmente cumpre o anúncio e super recomendo.;https://www.amazon.com.br/dp/B0FWNKVTSN
34;4;Automotivo;B08VBK2Z35;Vonixx SINTRA FAST - Multilimpador flotador universal, bactericida e germicida de pH balanceado, 500ML;34,11;4,8;2.291;Brasil;30/11/2025;5,0;bom produto, rende, cheiro de desinfetante;https://www.amazon.com.br/dp/B08VBK2Z35
35;5;Automotivo;B09N9TYTSJ;Veda Porta Rolinho em Couro Sintético – Isolamento Térmico, Acústico, Protege Contra Insetos e Luz – Branco 80cm - Comfort Door;25,60;4,6;2.084;Brasil;23/12/2025;5,0;Produto de courino, veda muito bem a fresta da porta. Tive que cortar uma parte por ser maior do que a porta.;https://www.amazon.com.br/dp/B09N9TYTSJ
36;6;Automotivo;B07WZQC1NJ;CAPACETE ABERTO PRO TORK NEW LIBERTY 3 SOLID PRETO FOSCO TAM. 60;101,00;4,6;15.049;Brasil;11/01/2026;5,0;Até agora não deu sinal de cair a viseira, muito bom capacete pra o dia a dia;https://www.amazon.com.br/dp/B07WZQC1NJ
37;7;Automotivo;B0CTD5MCW1;Snow Foam Pump 3 Em 1 Manual Espuma Água Químicos SGT-9924;49,90;4,6;399;Brasil;04/01/2026;5,0;Excelente produto, espuma excelente, utilizei com detergente para testar e a espuma ficou cremosa.;https://www.amazon.com.br/dp/B0CTD5MCW1
38;8;Automotivo;B08B1VX8RY;Vonixx INTENSE - Renovador de plásticos com proteção UV, 500ML;30,36;4,8;2.556;Brasil;15/12/2025;5,0;Produto muito bom e deixa um brilho ótimo no painel do carro e não deixa úmido.;https://www.amazon.com.br/dp/B08B1VX8RY
39;9;Automotivo;B08N844668;vonixx Shampoo Automotivo Concentrado 1:400 V-floc 3 Litros;62,20;4,8;1.419;Brasil;09/01/2026;5,0;Produto realmente fantástico, é o melhor shampoo automotivo que já comprei. Rende muito, faz muita espuma, limpa de verdade e tem cheiro de uva! Esse último atributo não precisava mas é verdade. Enfim: recomendo.;https://www.amazon.com.br/dp/B08N844668
40;10;Automotivo;B07RRYYBWG;Limpa Estofados ZIP spray 300ml, MY PLACE, AE2500011;17,75;4,3;244;Brasil;01/01/2026;5,0;Ótimo produto e deixa um cheiro de limpeza.;https://www.amazon.com.br/dp/B07RRYYBWG
41;11;Automotivo;B07YDW6YXS;CAPACETE FECHADO PRO TORK SPORT MOTO 788 PRETO - BRANCO TAM. 56;82,00;4,5;7.873;Brasil;09/01/2026;5,0;Preço bom , entrega no prazo e o produto também é bom, pelo preço não é um top de linha , mas quebra um galho para quem está sem grana, já protege vc;https://www.amazon.com.br/dp/B07YDW6YXS
42;12;Automotivo;B077SKG88X;Bosch Palheta Dianteira Aerofit AF18, Limpador de Para-brisa com Tratamento de Grafite, 18 Polegadas 450 mm, Unitário;31,97;4,6;5.207;Brasil;02/12/2025;5,0;Palhetas excelentes, muito silenciosas e limpam muito bem. Vale a muito a pena. Na Amazon bem mais barato que em lojas físicas.;https://www.amazon.com.br/dp/B077SKG88X
43;13;Automotivo;B07CYRXDZR;CAPACETE FECHADO PRO TORK NEW LIBERTY 4 SOLID PRETO FOSCO TAM. 58;97,00;4,4;4.123;Brasil;13/12/2025;5,0;Capacete bom, material de qualidade, ótimo custo benefício;https://www.amazon.com.br/dp/B07CYRXDZR
