Produto Amazon;Melhor correspondência ML;Similaridade
"Smartphone Samsung Galaxy S24, Galaxy AI, Selfie de 12MP, Tela de 6.2"" 1-120Hz, 256GB, 8GB RAM - Preto";Samsung Galaxy S24 Galaxy Ai 256gb Preto 8gb Ram;0.654
"Smartphone Motorola Moto g35 5G - 128GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Garfite";Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro;0.642
Apple iPhone 15 (128 GB) — Rosa;Apple iPhone 16 (128 Gb) - Ultramarino - Distribuidor Autorizado;0.619
Smartphone Xiaomi Poco X7 Pro 5G NFC Yellow (Amarelo) 8GB RAM 256GB ROM [2412DPC0AG];Xiaomi Poco X7 Pro 5g 256gb/8gb Dual Sim Nfc Global 2025 Cor Amarelo;0.656
"Samsung Celular Galaxy A16, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh (Cinza)";Celular Samsung Galaxy A16 128gb 4gb Ram Câmera 50mp Tela 6.7 Nfc Preto;0.649
Smartphone Xiaomi Poco C85 NFC Preto 8GB RAM 256GB ROM;Xiaomi Poco C75 256gb 8gb Ram C85 + Top Cor Verde;0.724
Apple iPhone 16 (128 GB) – Branco;Apple iPhone 16 (128 Gb) - Ultramarino - Distribuidor Autorizado;0.897
"Celular Samsung Galaxy A16 5G, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh - Azul Escuro";Celular Samsung Galaxy A16 128gb 4gb Ram Câmera 50mp Tela 6.7 Nfc Preto;0.607
Apple iPhone 16e de 128 GB — Preto;Apple iPhone 16 (128 Gb) - Ultramarino - Distribuidor Autorizado;0.649
"Smartphone Motorola Moto g05-128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Cinza";Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro;0.749
"Smartphone Motorola Moto g06-128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.9"" - Laranja";Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro;0.657
Apple iPhone 16 (128 GB) – Preto;Apple iPhone 16 (128 Gb) - Ultramarino - Distribuidor Autorizado;0.963
Kit Capa Capinha Anti-Impacto Premium Transparente + Película de Cerâmica 9D para Xiaomi Poco X7 Pro - FD Acessórios;Kit Capa Capinha Transparente Para iPhone 17 Air E Película 3d Danet Full Cover Anti Impacto;0.7
"Celular Samsung Galaxy A16, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh - Preto";Celular Samsung Galaxy A16 128gb 4gb Ram Câmera 50mp Tela 6.7 Nfc Preto;0.711
Apple iPhone 14 (128 GB) – Estelar;Apple iPhone 16 (128 Gb) - Ultramarino - Distribuidor Autorizado;0.641
"Smartphone Motorola Moto g15-256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI e Night Vision Bateria de 5200 mAh Tela FHD+ 6.7"" com Superbrilho NFC - Grafite";Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro;0.928
