Posição;Subcategoria;ASIN;Nota Geral;Qtd. Avaliações;Data Comentário;Nome;Preço à vista;Nota;Comentário;Link
1;BELEZA E CUIDADO PESSOAL;MLB43980209;4,7;8031;N/A;Kit 2 Pacotes Cabelo Jumbo Super X Para Tranças 400g + Anéis Cor #bug;39,98;N/A;Sem comentários;https://www.mercadolivre.com.br/kit-2-pacotes-cabelo-jumbo-super-x-para-trancas-400g-aneis-cor-bug/p/MLB43980209#polycard_client=search_best-seller&tracking_id=b157e694-a6fe-4315-8e77-da4fb58db249&wid=MLB5197638018&sid=search
2;BELEZA E CUIDADO PESSOAL;MLB44004705;4,8;2063;N/A;Cabelo Jumbao Boho Curl French Curl Braids Tranças C/ Cachos Cor Ombre Mel T1b 27;47,00;N/A;Muito bom veio 5 pct em um só perfeito amei usei e ainda ficou 2pct.;https://www.mercadolivre.com.br/cabelo-jumbao-boho-curl-french-curl-braids-trancas-c-cachos-cor-ombre-mel-t1b-27/p/MLB44004705#polycard_client=search_best-seller&tracking_id=b157e694-a6fe-4315-8e77-da4fb58db249&wid=MLB5369892232&sid=search
3;BELEZA E CUIDADO PESSOAL;MLB49356002;4,8;1799;N/A;Cabelo Fibra De Colágeno Top Closure Be.you Modelo Para Tudo Cor T2/30 Castanho Escuro Com Ruívo;155,00;N/A;Muito leve e macio, 1 pacote faz a cabeça toda. Amei 😉🫶.;https://www.mercadolivre.com.br/cabelo-fibra-de-colageno-top-closure-beyou-modelo-para-tudo-cor-t230-castanho-escuro-com-ruivo/p/MLB49356002#polycard_client=search_best-seller&tracking_id=b157e694-a6fe-4315-8e77-da4fb58db249&wid=MLB4059837739&sid=search
4;BELEZA E CUIDADO PESSOAL;MLB57684332;4,9;345;N/A;2 Pacotes Cabelo Jumbo African Beauty Para Tranças Box Braid Cor T2/30;43,47;N/A;Eu ameii demaisss, minha cliente também amou, essa marca de jumbo é perfeitaa, pq já vem desfiada, e a cor ficou maravilhosa, vou concerteza comprar mais vezes.;https://www.mercadolivre.com.br/2-pacotes-cabelo-jumbo-african-beauty-para-trancas-box-braid-cor-t230/p/MLB57684332#polycard_client=search_best-seller&tracking_id=b157e694-a6fe-4315-8e77-da4fb58db249&wid=MLB4220666871&sid=search
5;BELEZA E CUIDADO PESSOAL;MLB45390356;4,7;3913;N/A;Cabelo Nina Softex Pacotão Crochet Braid 360 Gramas 5x1 Cor Ombre Dourado;58,67;N/A;Segunda vez que uso o nina e sem arrependimento nenhum, amei demais. Comprem!!!!.;https://www.mercadolivre.com.br/cabelo-nina-softex-pacoto-crochet-braid-360-gramas-5x1-cor-ombre-dourado/p/MLB45390356#polycard_client=search_best-seller&tracking_id=b157e694-a6fe-4315-8e77-da4fb58db249&wid=MLB3949483085&sid=search
6;INFORMÁTICA;MLB28665287;4,8;4905;N/A;Mochila Reforçada Pack Young Meimi Amores Notebook 15.6 Cor Preto;60,72;N/A;Gostei bastante o tamanho é bom para levar not, faculdade e trabalho tem várias repartição, inclusive a trás tem bolso com zíper, ótimo para colocar celular ou carteira.;https://www.mercadolivre.com.br/mochila-reforcada-pack-young-meimi-amores-notebook-156-cor-preto/p/MLB28665287#polycard_client=search_best-seller&tracking_id=2eb2e884-28f7-45aa-8354-203613f1af09&wid=MLB5474171908&sid=search
7;INFORMÁTICA;MLB48939442;4,8;62124;N/A;Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Davely Cinza;59,90;N/A;"-eu diria que, pelo custo benefício, é um mouse 10/10. -estou positivamente impressionado, portanto quero fazer uma avaliação mais completa para quem for, de fato, analisar as avaliações antes de comprar. --- é simplesmente inacreditável como um mouse tão barato pode ser tão bom. --- quero falar primeiro do ponto que mais me agradou, que é prático e incomum. O mouse vem com um switch na parte inferior com 3 posições: desligado ao centro, 'wi-fi' pra um lado (que usa o conector usb sem fio que vem com o produto) e bluetooth para o outro lado. [[uso o usb sem fio plugado no computador que conecto na tv para assistir, e uso o bluetooth para conectar o mouse no meu computador principal. Com isso, basta alternar o switch para alternar em qual computador o mouse será usado]]. --- a precisão durante o uso é excelente, tanto no bluetooth quanto no conector usb, sem dificuldades para que o ponteiro chegue exatamente onde queremos. --- o 'pressionar' dos botões principais é muito suave e silencioso. Somente o botão central (scroll), exige ser pressionado um pouquinho mais forte, mas coisa mínima. --- aparência minimalista, com botões discretos, sendo parte da carcaça e não encaixes separados. Mouse bonito, sua luz de led não é muito forte e, apesar de não ser regulável, sempre se apaga enquanto o mouse está parado. ---lembrete: o termo ""wi-fi"" descrito no mouse não se trata da sua internet! portanto não se confundam antes de comprar. Esta é a conexão via plug usb sem fio---.";https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-davely-cinza/p/MLB48939442#polycard_client=search_best-seller&tracking_id=2eb2e884-28f7-45aa-8354-203613f1af09&wid=MLB6068243762&sid=search
8;INFORMÁTICA;MLB46452246;4,9;5775;N/A;Controle Sem Fio GameSir T4 Nova Lite Hall Effect Multiplataforma Bluetooth Dongle Usb-C Azul Escuro;200,00;N/A;"Muito bonito ! confortável, e aparentemente muita qualidade!. Quanto a durabilidade preciso usar mais para saber !. E para você que irá utilizar no pc para não sofrer ai vai a ajuda do emparelhamento :. 1 conecte o receptor na porta usb. 2 de um clique atrás do botão traseiro do receptor até ele piscar rápido. 3 pressione os botões do controle ( home ""desenho da galinha + botão logo abaixo do home ). E pronto ele irá piscar rápido e irá reconhecer facilmente !. Mas tive de procurar ajuda na internet para descobri.";https://www.mercadolivre.com.br/controle-sem-fio-gamesir-t4-nova-lite-hall-effect-multiplataforma-bluetooth-dongle-usb-c-azul-escuro/p/MLB46452246#polycard_client=search_best-seller&tracking_id=2eb2e884-28f7-45aa-8354-203613f1af09&wid=MLB4229843983&sid=search
9;INFORMÁTICA;MLB27535550;4,8;17189;N/A;Filamento Pla 1kg Voolt3D Impressão Cor Verde;123,90;N/A;Impressora creality ender 3 v3 se. Temperatura do bico 230°c. Temperatura da cama 65°c. Configuração original da própria impressora. Utilizei o carretel inteiro e não tive problema algum. O resultado das peças é excelente.;https://www.mercadolivre.com.br/filamento-pla-1kg-voolt3d-impresso-cor-verde/p/MLB27535550#polycard_client=search_best-seller&tracking_id=2eb2e884-28f7-45aa-8354-203613f1af09&wid=MLB5322209278&sid=search
10;INFORMÁTICA;MLB50841031;4,8;6517;N/A;Papel Fotográfico A4 Microporoso Brilhante 260g 300 Folhas Cor Branco;383,47;N/A;Produto muito bom, resistente, grossinho recomendo até para impressão de capas para encadernação de tão bonito que fica a impressão.;https://www.mercadolivre.com.br/papel-fotografico-a4-microporoso-brilhante-260g-300-folhas-cor-branco/p/MLB50841031#polycard_client=search_best-seller&tracking_id=2eb2e884-28f7-45aa-8354-203613f1af09&wid=MLB5413886332&sid=search
11;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB38302175;4,9;4693;N/A;Fone de Ouvido Soundcore P20i Bluetooth 5.3 Grave Potente Drivers 10mm 30h Bateria Carregamento Rápido App Personalização De Som Via App IPX5 2 Mics IA para Chamadas Claras Case Compacto Cor Azul;166,19;N/A;Fone fenomenal pelo que custa! faz uns dois anos que estou no hobby de áudio e tenho uma coleção boa de fones, precisava de um tws que me agradasse e esse foi um belo acerto. O som é ótimo, uso ele no eqs de pop, flat e bass reducer que já vem no app (não sou bass head) e ele me dá um retorno de tonalidade mais equilibrado pro meu gosto sem perder a própria personalidade de um fone mais divertido com subgraves presentes. As frequências não embolam o que foi uma surpresa muito agradável. Usei ele por umas boas 5 horas direto e a bateria continuou firme e forte! além do mais, saber que ele tem garantia e homologação pela anatel me deixa bem mais tranquila também. Estarei recomendando esses carinhas pra todos 🙏🏻.;https://www.mercadolivre.com.br/fone-de-ouvido-soundcore-p20i-bluetooth-53-grave-potente-drivers-10mm-30h-bateria-carregamento-rapido-app-personalizaco-de-som-via-app-ipx5-2-mics-ia-para-chamadas-claras-case-compacto-cor-azul/p/MLB38302175#polycard_client=search_best-seller&tracking_id=29a2fe39-3481-475e-952a-a482726d7065&wid=MLB5410930110&sid=search
12;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB23995388;4,9;26217;N/A;Echo Pop Smart Speaker Amazon Cor Preto C2H4R9;260,49;N/A;A alexa e suas echos são maravilhosas mas vou deixar alguns pontos. Eu tenho uma echo dot 3 e tenho uma echo show também. Assim que abri a caixa a primeira coisa que percebi foi o plástico, o material, não é o mesmo, achei mais inferior. Também notei o peso, mais leve. Mas sei que essa echo pop é mais simples, mais barata, mais enxuta em relação as outras. Espero que a amazon não diminua de qualidade. Antes de comprar vi na internet que o som dessa echo pop era melhor. Em relação a que eu tenho, a echo dot 3, não é. Segurando as duas, a echo dot 3 e essa echo pop é notório a qualidade do material, do plástico, o peso. A echo dot 3 é melhor. Dependendo da folga no bolso acho que é melhor procurar uma echo dot 5.;https://www.mercadolivre.com.br/echo-pop-smart-speaker-amazon-cor-preto-c2h4r9/p/MLB23995388#polycard_client=search_best-seller&tracking_id=29a2fe39-3481-475e-952a-a482726d7065&wid=MLB4320292255&sid=search
13;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB38612018;4,9;17793;N/A;Headset Qcy H3 Anc Adaptativo Bluetooth 5.3 Multiponto 60h Cor Laranja;298,90;N/A;Fone espetacular. Da uma surra em todas as marcas famosas. Uso para treinar já tô usando 30 dias sem carregar ele. Custo benefício ótimo. Cancelamento de ruído é bom ( não escuto ninguem cvs na academia apenas a música ambiente bem baixa).;https://www.mercadolivre.com.br/headset-qcy-h3-anc-adaptativo-bluetooth-53-multiponto-60h-cor-laranja/p/MLB38612018#polycard_client=search_best-seller&tracking_id=29a2fe39-3481-475e-952a-a482726d7065&wid=MLB4140751121&sid=search
