Posição;Subcategoria;ASIN;Nota Geral;Qtd. Avaliações;Data Comentário;Nome;Preço à vista;Nota;Comentário;Link
1;GAMES;MLB27646246;4,7;8931;N/A (Coleta ignorada);Controle Sem Fio Ps4 Sony Dualshock 4 Azul;235,55;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/controle-sem-fio-ps4-sony-dualshock-4-azul/p/MLB27646246
2;GAMES;MLB18917848;4,9;36432;N/A (Coleta ignorada);Controle Dualsense Cfi-zct1 Sem Fio Ps5 Galactic Purple;589,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/controle-dualsense-cfi-zct1-sem-fio-ps5-galactic-purple/p/MLB18917848
3;GAMES;MLB44238532;4,9;5389;N/A (Coleta ignorada);Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Hall Effect Cor Azul Celeste;199,94;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-hall-effect-cor-azul-celeste/p/MLB44238532
4;GAMES;MLB37121958;4,8;26835;N/A (Coleta ignorada);Creatina 300 Gr - Max Titanium Sabor Sem Sabor;59,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/creatina-300-gr-max-titanium-sabor-sem-sabor/p/MLB37121958
5;GAMES;MLB45121807;4,8;288;N/A (Coleta ignorada);Capa Para Xbox Series X Anti Poeira Vertical - Cor 001;49,99;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/capa-para-xbox-series-x-anti-poeira-vertical-cor-001/p/MLB45121807
6;ELETRODOMÉSTICOS;MLB15699906;4,7;236379;N/A (Coleta ignorada);Liquidificador Turbo Power Mondial 550w L-99 Fr;94,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-fr/p/MLB15699906
7;ELETRODOMÉSTICOS;MLB18932157;4,7;110499;N/A (Coleta ignorada);Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b;119,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b/p/MLB18932157
8;ELETRODOMÉSTICOS;MLB15154779;4,9;37162;N/A (Coleta ignorada);Cafeteira Nescafé Dolce Gusto Mini Me Preta 110v;440,72;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/cafeteira-nescafe-dolce-gusto-mini-me-preta-110v/p/MLB15154779
9;ELETRODOMÉSTICOS;MLB22517436;4,8;41918;N/A (Coleta ignorada);Sanduicheira Master Grill 750w S-20 Preto/inox Mondial Cor Preto;94,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/sanduicheira-master-grill-750w-s-20-pretoinox-mondial-cor-preto/p/MLB22517436
10;ELETRODOMÉSTICOS;MLB27592681;4,8;12761;N/A (Coleta ignorada);Máquina De Lavar Bwk13ab 13kg Branca Brastemp Cor Branco;1899,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/maquina-de-lavar-bwk13ab-13kg-branca-brastemp-cor-branco/p/MLB27592681
