Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Caractéristicas;País;Nota Comentário;Data Comentário;Comentário;Link
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;02/05/2025;É bom pra caramba eu recomendo, pq tem como pagar com dinheiro, pix, cartão de crédito ou débito e etc.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;25/05/2025;Muito bom, não tenho surpresa no final do mês e também se quiser cancelar a tag é muito facil é so cancelar no aplicativo, coisas impossíveis naquele outro famoso.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;04/05/2025;Excelente.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;06/10/2025;"Tag é muito boa , pedi pela segunda vez porque tive que trocar o vidro dianteiro.
Eu recomendo,fila nunca mais kkk.
Já deve tá fazendo mais de 2 anos que tenho, nunca deu problema.";https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;28/04/2025;Funcionou perfeito.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;23/06/2025;Mto bom. Segui as instruções de instalação e funcionou. Agora zero filas.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;30/05/2025;Sem texto;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;26/05/2025;Minha primeira tag, e a única que provavelmente usarei! a única gratuita e com mensalidade baixa. Funciona de forma universal e com a praticidade do mercadopago. Realmente algo que veio para ficar.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;20/08/2025;Estou gostando cobra somente a taxa de manutenção mínima de 4 reais ao mês e o valor do pedagio quando usado muito bom já viajei e testei vale a pena não enfrentar filas.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;44440;{};Brasil;5;02/05/2025;Top agora n vou precisar parar mais nos pedágios heheheh 👏🏻👏🏻.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
2;2;Acessórios para Veículos;MLB24233819;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Tamanho Do Capacete 56 Cor Cinza Vermelho Fosco Fosco/bilhante;228,71;4,7;15052;{'Cor': 'Cinza Vermelho Fosco', 'Tamanho do capacete': '56', 'Acabamento': 'Fosco/Bilhante'};Brasil;5;09/02/2024;"Capacete muito bom confortável.
Atendeu as minhas expectativas.";https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-tamanho-do-capacete-56-cor-cinza-vermelho-fosco/p/MLB24233819
2;2;Acessórios para Veículos;MLB24233819;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Tamanho Do Capacete 56 Cor Cinza Vermelho Fosco Fosco/bilhante;228,71;4,7;15052;{'Cor': 'Cinza Vermelho Fosco', 'Tamanho do capacete': '56', 'Acabamento': 'Fosco/Bilhante'};Brasil;5;06/10/2023;"Produto super confortável,lindo designer! agora sim tenho um capacete de alta qualidade,quem quiser comprar desse tipo de capacete. Pode comprar sem medo além de lindo e confortável,tenho a cabeça um pouco grande comprei o número 60 e ficou muito bom!.
Espero que meu comentário lhe ajude a comprar seu capacete também.";https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-tamanho-do-capacete-56-cor-cinza-vermelho-fosco/p/MLB24233819
2;2;Acessórios para Veículos;MLB24233819;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Tamanho Do Capacete 56 Cor Cinza Vermelho Fosco Fosco/bilhante;228,71;4,7;15052;{'Cor': 'Cinza Vermelho Fosco', 'Tamanho do capacete': '56', 'Acabamento': 'Fosco/Bilhante'};Brasil;4;19/03/2025;Ele é muito útil. Comprei pq odiava ter que tirar o óculos e colocar o capacete pra encaixar o óculos de novo. Então ele cumpre a utilidade que eu queria. Quero avisar que o capacete é bem pesado, eu senti uma grande diferença desse pro velhinho que eu usava. Como vocês podem ver na foto na parte do queixo ele não tem aquelas proteções dos capacetes caros, ou seja, as entradas de ar dele são falsas e entrar ar por baixo. Dessa forma se você for passar por um lugar com muita poeira/terra tem o risco de entrar no olho então cuidado!!! mas pelo valor compensa.;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-tamanho-do-capacete-56-cor-cinza-vermelho-fosco/p/MLB24233819
2;2;Acessórios para Veículos;MLB24233819;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Tamanho Do Capacete 56 Cor Cinza Vermelho Fosco Fosco/bilhante;228,71;4,7;15052;{'Cor': 'Cinza Vermelho Fosco', 'Tamanho do capacete': '56', 'Acabamento': 'Fosco/Bilhante'};Brasil;4;10/06/2023;Goste do capacete confortável, não fica com a estica da cabeça enorme bem macio por dentro peguei número 58 ficou perfeito nenbapertado nen grande a única coisa que achei q poderia melhorar e o acabamento da parte de cima da frente a telinha que veio meio folgada mais fora isso achei ótimo pelo valor obs, grafismo incrível lindo.;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-tamanho-do-capacete-56-cor-cinza-vermelho-fosco/p/MLB24233819
