Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Nota Comentário;Data Comentário;Comentário;Link
1;1;ELETRODOMÉSTICOS;MLB15699907;Liquidificador Turbo Power Mondial 550w L-99 Fr Vermelho 220v;94,90;4,7;243450;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-fr/p/MLB15699907
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;26/10/2022;Dentro do esperado para um produto de entrada. Não tenho nada do que reclamar. Não é super silencioso, mas também não é super barulhento. Tem um vento suficiente para refrescar. Gostaria que na velocidade mais baixa tivesse menos vento, mesmo na velocidade mais baixa ele ainda faz mt vento, mas para quem gosta vai ser perfeito.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
3;3;ELETRODOMÉSTICOS;MLB6080712;Ventilador De Teto Ventisol Fênix Branco Com 3 Pás De Plástico 96 Cm De Diâmetro;195,21;4,5;33939;5;07/01/2022;Vi muitas opiniões de reclamações sobre o produto, porém mesmo assim comprei, algumas reclamações eram sim fundamentadas, como a dificuldade de passar o cabo da lâmpada por dentro da canopla do ventilador, e da fragilidade dos comandos que fica na parede, porém todos esses problemas foram contornados, oriento a todos a assistirem tutoriais de montagem do ventilador no youtube, os comandos originais eu substitui por módulos da margirius, o aparelho tem ótima ventilação, e relativamente bonito e bem acabado pelo preço, espaço para duas lâmpadas, coloquei lâmpadas de 12w e couberam tranquilamente, o ruído que ele faz, das pás de plástico, não me incomodaram, pretendo comprar mais 2 desse mesmo modelo, ainda, só não posso opinar sobre a durabilidade, pois ainda é relativamente novo, minha maior sugestão, não invente moda, utilize o capacitor utilizado, nada de colocar mais potente, siga oque está no manual.;https://www.mercadolivre.com.br/ventilador-de-teto-ventisol-fnix-branco-com-3-pas-de-plastico-96-cm-de-dimetro/p/MLB6080712
4;4;ELETRODOMÉSTICOS;MLB23999810;Fritadeira Sem Óleo Air Fryer 4l Mondial 1500w Afn-40-bft;295,00;4,9;54471;5;06/10/2024;Comprei uma gostei, comprei outra, uma pra mim uma pra minha mãe, sobre a durabilidade não sei faz pouco tempo q comprei, porém chega de lava frigideira e fogão cheio de óleo, chega de se queimar com óleo espirrando, fácil usar fácil limpar, pesquisei e descubri q algumas dá problema por usar erado, não faça cura com água nela apenas lave a gaveta, não faça arroz feijão etc. Ela é pra fritar assar gratinar e não cozinhar, o vapor da água sobe e prejudica as partes plásticas, faça carne linguiça batata etc. Tudo q for frito ou assado mas não cozinhe nada, pra lavar a gaveta apenas com a parte amarela da bucha é suficiente limpa façil, achei q valeu a pena.;https://www.mercadolivre.com.br/fritadeira-sem-oleo-air-fryer-4l-mondial-1500w-afn-40-bft/p/MLB23999810
5;5;ELETRODOMÉSTICOS;MLB18971071;Ventilador De Coluna Turbo 6 30cm Preto Ventisol;149,90;4,6;43577;5;15/11/2023;Eu vi os comentários e me atentei aos que deu certo pois me parecida falta de atenção na montagem rs. E ainda bem que fiz isto. Ele atende o propósito, ventila bem e não é barulhento. Material ok, atende bem. É super levinho para mudar de ambiente.;https://www.mercadolivre.com.br/ventilador-de-coluna-turbo-6-30cm-preto-ventisol/p/MLB18971071
6;6;ELETRODOMÉSTICOS;MLB19723843;Ferro De Passar Roupa A Vapor E A Seco Electrolux Efficient Com Vapor Vertical Esi10;109,90;4,8;16475;5;02/01/2024;Gostei dele, esquenta bem, o tamanho e bom, para mim está perfeito, o cabo não e tão curto como nós comentários, para visualizar os nomes no botão realmente e ruim, a cor não ajuda muito, como eu está precisando com urgência, está suprindo muito bem minhas necessidades. Passei vários uniformes do meu esposo e todos ficaram perfeitos, aqueci super bem.;https://www.mercadolivre.com.br/ferro-de-passar-roupa-a-vapor-e-a-seco-electrolux-efficient-com-vapor-vertical-esi10/p/MLB19723843
7;7;ELETRODOMÉSTICOS;MLB22517436;Sanduicheira Master Grill 750w S-20 Preto/inox Mondial Cor Preto;94,90;4,8;43269;5;25/07/2023;A misteira tenho certeza que e otima. So nao gostei porque nao embalaram a encomenda, uma falta de respeito com o consumidor. Espero que isso nao atrapalhe o funcionamento do aparelho. Gente, que custa vcs embalar o produto ????!!!!. Espero não ter problema com o aparelho e muito decepcionada com o vendendor.;https://www.mercadolivre.com.br/sanduicheira-master-grill-750w-s-20-pretoinox-mondial-cor-preto/p/MLB22517436
8;8;ELETRODOMÉSTICOS;MLB27622803;6x Lâmpada Halopin Led G9 5w 52 Leds Para Lustres E Arandela Cor Da Luz Branco-frio Goldensky;27,28;4,8;13443;5;14/02/2024;Atualmente tenho 10 arandelas nos meus muros compradas a cerca de 1 e 4 meses , todas vinheram com essa msm lâmpada das 10 somente 3 queimaram, o que pra mim é completamente normal! comprei a mais pra casa ocorra de alguma outra queimar, (vale ressaltar que as que queimaram tvz ficassem mais tempo e com mais frequência acessas, as do muro externo nem lembro de apagar e 24hrs acessa 🤣.;https://www.mercadolivre.com.br/6x-lmpada-halopin-led-g9-5w-52-leds-para-lustres-e-arandela-cor-da-luz-branco-frio-goldensky/p/MLB27622803
9;9;ELETRODOMÉSTICOS;MLB17353888;Liquidificador Easy Power Mondial 550w - L-550-b Preto 220v;72,00;4,7;62671;4;19/09/2022;Atenção >> pelo preço, cumpre o que espera de um produto dessa faixa de preço, faz sucos e vitaminas e não fede coisa nenhuma, depois de 5 min batendo que sentimos que o motor não é fabricado pra ficar ligado a vida inteira, no geral ótimo produto, só não compraria dv, pq no meu caso que uso frutas congeladas pra vitamina, sempre fica pedacinhos por baixo da hélice, (coisa que não acontecia no meu arno de entrada, mas com o tempo o copo começou vazar e eu comprei esse). Resumindo, caso vc não for bater congelados, é um ótimo custo x beneficio !.;https://www.mercadolivre.com.br/liquidificador-easy-power-mondial-550w-l-550-b/p/MLB17353888
10;10;ELETRODOMÉSTICOS;MLB46424818;Lâmpada Bolinha Led 3w G45 E27 Bulbo Lustre Espelho Luz Branco-quente;12,41;4,8;1652;5;23/06/2025;No cômodo eu coloquei só para testar, mas quando coloquei no telhado do galpão vi que preciso apenas de mais uma, antes pensava que precisaria de quatro lampadas. Ou seja, foi mais que minha expectativa 🚀.;https://www.mercadolivre.com.br/lmpada-bolinha-led-3w-g45-e27-bulbo-lustre-espelho-luz-branco-quente/p/MLB46424818
