Posição;ASIN;Nota Geral;Qtd. Avaliações;Data Comentário;Nome;Preço à vista;Nota;Comentário;Link
1;MLB54970381;4,5;1964;N/A (Coleta ignorada);Pulseira Poolsy Compatível Xiaomi Mi Band 8 Pro Miband 9 Pro Cor Rose Pink;36,72;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/pulseira-poolsy-compativel-xiaomi-mi-band-8-pro-miband-9-pro-cor-rose-pink/p/MLB54970381
2;MLB37549919;4,6;1836;N/A (Coleta ignorada);Capa Capinha Silicone Aveludada Para Samsung Galaxy A02 Cor Preto;28,40;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/capa-capinha-silicone-aveludada-para-samsung-galaxy-a02-cor-preto/p/MLB37549919
3;MLB46056585;4,8;66072;N/A (Coleta ignorada);Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro;594,15;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/smartphone-motorola-moto-g15-128gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-e-night-vision-bateria-de-5200-mah-tela-fhd-67-com-superbrilho-nfc-azul-claro/p/MLB46056585
4;MLB55552345;4,6;369;N/A (Coleta ignorada);Pulseira De Silicone Colorida Para Huawei Band 8 + Película Cor Lilás;35,99;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/pulseira-de-silicone-colorida-para-huawei-band-8-pelicula-cor-lilas/p/MLB55552345
5;MLB44372580;4,8;53231;N/A (Coleta ignorada);Celular Samsung Galaxy A16 128gb 4gb Ram Câmera 50mp Tela 6.7 Nfc Preto;697,53;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-128gb-4gb-ram-cmera-50mp-tela-67-nfc-preto/p/MLB44372580
6;MLB61493919;4,8;481;N/A (Coleta ignorada);Xiaomi Redmi 15c 128gb 6 Ram 4 G Preto;999,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/xiaomi-redmi-15c-128gb-6-ram-4-g-preto/p/MLB61493919
7;MLB41287332;4,6;10051;N/A (Coleta ignorada);Xiaomi Redmi 14c 4g Dual Sim 256 Gb Verde 8 Gb Ram Global Top;858,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/xiaomi-redmi-14c-4g-dual-sim-256-gb-verde-8-gb-ram-global-top/p/MLB41287332
8;MLB1040287800;4,9;15791;N/A (Coleta ignorada);Apple iPhone 16 (128 Gb) - Ultramarino - Distribuidor Autorizado;4798,89;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/apple-iphone-16-128-gb-ultramarino-distribuidor-autorizado/p/MLB1040287800
9;MLB1027172679;4,9;31668;N/A (Coleta ignorada);Apple iPhone 15 (256 Gb) - Amarelo - Distribuidor Autorizado;5499,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/apple-iphone-15-256-gb-amarelo-distribuidor-autorizado/p/MLB1027172679
10;MLB58683804;4,6;1110;N/A (Coleta ignorada);Kit Capa Capinha Transparente Para iPhone 17 Air E Película 3d Danet Full Cover Anti Impacto;29,99;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/kit-capa-capinha-transparente-para-iphone-17-air-e-pelicula-3d-danet-full-cover-anti-impacto/p/MLB58683804
11;MLB62192975;4,9;1034;N/A (Coleta ignorada);Xiaomi Poco C75 256gb 8gb Ram C85 + Top Cor Verde;1139,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/xiaomi-poco-c75-256gb-8gb-ram-c85-top-cor-verde/p/MLB62192975
12;MLB44123953;4,8;18244;N/A (Coleta ignorada);Celular Samsung Galaxy A16 5g 256gb 8gb Ram Câmera De 50mp Nfc Verde Claro;1699,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-5g-256gb-8gb-ram-cmera-de-50mp-nfc-verde-claro/p/MLB44123953
13;MLB54103525;4,7;867;N/A (Coleta ignorada);Pulseira Silicone Sport Lisa Compatível Apple Watch Series 1 2 3 4 5 6 7 8 9 38mm 40mm 41mm Serie 10 Serie 11 42mm Cor Nude;19,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/pulseira-silicone-sport-lisa-compativel-apple-watch-series-1-2-3-4-5-6-7-8-9-38mm-40mm-41mm-serie-10-serie-11-42mm-cor-nude/p/MLB54103525
14;MLB48477630;4,7;352;N/A (Coleta ignorada);Pulseira 22mm Bight Compatível Com Amazfit Bip 5 Ultra Large Cor Preto;28,98;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/pulseira-22mm-bight-compativel-com-amazfit-bip-5-ultra-large-cor-preto/p/MLB48477630
15;MLB46450889;4,7;767;N/A (Coleta ignorada);Pulseira Fecho Silicone D2g Para Samsung Watch 4- 5- 6 40m 44m Cor Nude;22,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/pulseira-fecho-silicone-d2g-para-samsung-watch-4-5-6-40m-44m-cor-nude/p/MLB46450889
16;MLB61602105;4,9;5176;N/A (Coleta ignorada);Xiaomi Poco X7 Pro 5g 256gb/8gb Dual Sim Nfc Global 2025 Cor Amarelo;2000,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/xiaomi-poco-x7-pro-5g-256gb8gb-dual-sim-nfc-global-2025-cor-amarelo/p/MLB61602105
17;MLB45551052;4,7;2729;N/A (Coleta ignorada);Basike Fone De Ouvido Bluetooth Esportivo Tws Rosa Pink Moderno - Fones Com Conexão Rápida, 60h Bateria, Ipx5 À Prova D'água Para Academia, Corrida, Treinos;189,78;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/basike-fone-de-ouvido-bluetooth-esportivo-tws-rosa-pink-moderno-fones-com-conexo-rapida-60h-bateria-ipx5-prova-dagua-para-academia-corrida-treinos/p/MLB45551052
18;MLB53579933;4,6;256;N/A (Coleta ignorada);Pulseira Silicone Sport Lisa Compatível Apple Watch Series 1 2 3 4 5 6 7 8 9 10 42mm 44mm 45mm 46mm 49mm Cor Azul Marinho;19,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/pulseira-silicone-sport-lisa-compativel-apple-watch-series-1-2-3-4-5-6-7-8-9-10-42mm-44mm-45mm-46mm-49mm-cor-azul-marinho/p/MLB53579933
19;MLB29699966;4,9;6498;N/A (Coleta ignorada);Samsung Galaxy S24 Galaxy Ai 256gb Preto 8gb Ram;2696,00;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/samsung-galaxy-s24-galaxy-ai-256gb-preto-8gb-ram/p/MLB29699966
