Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Link;Características;Nota Comentário;Data Comentário;Comentário
1;1;Acessórios para Veículos;MLB25887256;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Cor Branco Rosa Fosco Tamanho Do Capacete 62;228,71;4,7;14044;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-cor-branco-rosa-fosco-tamanho-do-capacete-62/p/MLB25887256;;;;
2;2;Acessórios para Veículos;MLB24783436;Modulo Taramps Ts400x4 Potencia De 400watts 2 Ohms Amplificador 400rms T400 4 Canais Som Automotivo 2 Ohms Rca Ts 400x4 Crossover Branco;163,84;4,9;15428;https://www.mercadolivre.com.br/modulo-taramps-ts400x4-potencia-de-400watts-2-ohms-amplificador-400rms-t400-4-canais-som-automotivo-2-ohms-rca-ts-400x4-crossover/p/MLB24783436;;;;
3;3;Acessórios para Veículos;MLB18464287;Capacete Para Moto Aberto Pro Tork New Liberty Three Three Cap-490ptf Cor Negro Amarelo Sólido Brilhante 58;122,77;4,7;51026;https://www.mercadolivre.com.br/capacete-para-moto-aberto-pro-tork-new-liberty-three-three-cap-490ptf-cor-negro/p/MLB18464287;;;;
4;4;Acessórios para Veículos;MLB24702106;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/azul Tamanho Do Capacete 62 Fosco;228,71;4,6;20686;https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzaazul-tamanho-do-capacete-62/p/MLB24702106;;;;
5;5;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;34,50;4,9;11417;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583;;;;
6;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;;;;
7;7;Acessórios para Veículos;N/A;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;26,09;4,5;10775;https://www.mercadolivre.com.br/scanner-automotivo-bluetooth-obd2-eml-327-android-ios-obdii/up/MLBU1458199008;;;;
8;8;Acessórios para Veículos;N/A;Capa De Chuva Motoqueiro Motoboy Moto Conjunto Impermeável Preto Capa-g;76,54;4,7;8284;https://www.mercadolivre.com.br/capa-de-chuva-motoqueiro-motoboy-moto-conjunto-impermeavel/up/MLBU1744605031;;;;
9;9;Acessórios para Veículos;N/A;Cera Polimento Queimado Riscos Carnauba Automotiva;29,05;4,3;3930;https://www.mercadolivre.com.br/cera-polimento-queimado-riscos-carnauba-automotiva/up/MLBU3329869948;;;;
10;10;Acessórios para Veículos;N/A;Quebra Sol Para Brisa Carro Protetor Solar Quebra Sol;27,49;4,5;849;https://www.mercadolivre.com.br/quebra-sol-para-brisa-carro-protetor-solar-quebra-sol/up/MLBU3372437069;;;;
