Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Caractéristicas;Nota Comentário;Data Comentário;Comentário;Link
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;02/05/2025;É bom pra caramba eu recomendo, pq tem como pagar com dinheiro, pix, cartão de crédito ou débito e etc.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;25/05/2025;Muito bom, não tenho surpresa no final do mês e também se quiser cancelar a tag é muito facil é so cancelar no aplicativo, coisas impossíveis naquele outro famoso.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;04/05/2025;Excelente.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;06/10/2025;"Tag é muito boa , pedi pela segunda vez porque tive que trocar o vidro dianteiro.
Eu recomendo,fila nunca mais kkk.
Já deve tá fazendo mais de 2 anos que tenho, nunca deu problema.";https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;30/05/2025;Sem texto;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;28/04/2025;Funcionou perfeito.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;26/05/2025;Minha primeira tag, e a única que provavelmente usarei! a única gratuita e com mensalidade baixa. Funciona de forma universal e com a praticidade do mercadopago. Realmente algo que veio para ficar.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;23/06/2025;Mto bom. Segui as instruções de instalação e funcionou. Agora zero filas.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;20/08/2025;Estou gostando cobra somente a taxa de manutenção mínima de 4 reais ao mês e o valor do pedagio quando usado muito bom já viajei e testei vale a pena não enfrentar filas.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
1;1;Acessórios para Veículos;N/A;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;38708;{};5;02/05/2025;Top agora n vou precisar parar mais nos pedágios heheheh 👏🏻👏🏻.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
