Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço;Nota Geral;Qtd. Avaliações;País;Data Comentário;Nota Comentário;Comentário;Link
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;09/01/2026;5;De primeira qualidade e muita economia;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;08/01/2026;5;ÓTIMO PRODUTO E PREÇO MARAVILHOSO;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;07/01/2026;5;Ótimo produto;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;28/12/2025;5;Top, preço bom;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;14/12/2025;5;Para mim, é o melhor ketchup e normalmente essa embalagem de 1kg é o melhor custo benefício!Dente outros que já vi, se não me engano é o que tem menos ingredientes, me parece de melhor qualidade.;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;13/12/2025;5;Produto com pouca acidez. Gosto muito bom e ótima embalagem.;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;12/12/2025;5;Ketchup bom demais, preço excelente, de qualidade, recomendo.;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;16/12/2025;5;O melhor catchup. Excelente custo x benefício!;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;09/01/2026;5;Comprei barato aqui na Amazon... Ultimamente está caro aqui, mas quando estiver mais barato, vou comprar.9;https://www.amazon.com.br/dp/B097BYXGXN
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;17,9;4,9;20.935;Brasil;02/01/2026;5;"Otimo custo benefício. Pena o dosador da marca tem esse problema de ""pressão"" na qual tem de pressionar mto para sair algo e sempre sai uma dosagem exagerada.";https://www.amazon.com.br/dp/B097BYXGXN
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;07/01/2026;5;Estou em tratamento de c.a e não posso comer doce(açúcar) por isso comprei este da flormel, ele é divino, cremoso e muito gostoso;https://www.amazon.com.br/dp/B07Y2GTX9G
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;31/12/2025;5;Simplesmente fenomenal,textura,sabor! Nunca pensei que poderia ser tão bom assim.;https://www.amazon.com.br/dp/B07Y2GTX9G
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;06/12/2025;5;É uma delícia e com ótimo preço. Já comprei várias vezes e pretendo continuar adquirindo. É aquele docinho para você consumir sem culpa na dieta de emagrecimento, pois é baixíssimo em calorias. Eu me amarro no sabor. Recomendo!;https://www.amazon.com.br/dp/B07Y2GTX9G
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;07/01/2026;5;Sabor delicioso, sempre compro, chegou certinho.;https://www.amazon.com.br/dp/B07Y2GTX9G
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;01/11/2025;4;O doce de leite é muito bom, entrega sabor e consistência mesmo sem açúcar. O que ficou a desejar foi a entrega da Amazon. Pedi 3 potes, a embalagem é de vidro e não tinha nenhuma proteção entre eles. Dois potes vieram quebrados. Precisa se atentar a proteção da embalagem, Amazon.;https://www.amazon.com.br/dp/B07Y2GTX9G
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;28/12/2025;5;Super gostei do doce de leite ,bem levinho ,deixei no congelador ficou bem pastoso ,comprarei novamente;https://www.amazon.com.br/dp/B07Y2GTX9G
2;2;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;20,99;4,6;3.940;Brasil;31/12/2025;5;Muito gostoso. Satisfaz a vontade de consumir açúcar;https://www.amazon.com.br/dp/B07Y2GTX9G
