Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço;Nota Geral;Qtd. Avaliações;Características;País;Data Comentário;Nota Comentário;Comentário;Link
1;1;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;22,46;4,9;21.066;"Você economiza 10% em entregas recorrentes deste produto por meio do: Potencial de economia anual:, Saiba mais | .sp_detail2_sponsored_label {         color #555555;         font-size 11px;     }     .sp_detail2_info_icon {         width 11px;         vertical-align text-bottom;         fill #969696;     }     .sp_info_link {         text-decorationnone !important;     }          #sp_detail2_hide_feedback_string {         display none;     }          .sp_detail2_sponsored_labelhover {         color #111111;     }     .sp_detail2_sponsored_labelhover .sp_detail2_info_icon {         fill #555555;     }: Patrocinado";Brasil;16/01/2026;5;Produto de boa qualidade, preço bom e chegou dentro do prazo;https://www.amazon.com.br/dp/B097BYXGXN
2;2;Alimentos e Bebidas;B0F2GMT6T3;Integralmedica - Barra de Proteína Whey Protein Crisp Bar Ovomaltine - Snack Proteíco - Pré e Pós-Treino - 12 Unidades;76,56;4,7;9.880;"Nome do SaborOvomaltine: Faça uma seleção de Nome do Sabor, Brownie de Chocolate, Cheesecake de Frutas Vermelhas, Churros com Doce de Leite, Cookies and Cream | Tamanho12 Unidades: Faça uma seleção de Tamanho, 12 UnidadesR$ 76,56 com 38 por cento de descontoR$76,56unidade por R$&nbsp;6,38(R$6,38R$6,38/ unidade)R$125,27R$125,27Em estoqueEntrega GRATISQuarta-feiraQuarta-feira, 12 Unidades, R$ 76,56 com 38 por cento de desconto, R$76,56";Brasil;22/12/2025;5;Deliciosa! Bom tamanho, textura, gosto, enfim… perfeita. Parece que vc tá comendo chocolate mesmo, pois nem o gosto residual de adoçantes fica. Recomendo muito!;https://www.amazon.com.br/dp/B0F2GMT6T3
3;3;Alimentos e Bebidas;B07HDSL78H;Orfeu Café Clássico em Grãos, 100% Arabica, Torra Média, 1kg;136,99;4,7;18.562;"Nome do SaborClássico: Faça uma seleção de Nome do Sabor, Clássico, Intenso, Orgânico | Tamanho1 kg (Pacote de 1): Faça uma seleção de Tamanho, 1 kg (Pacote de 1)R$ 136,99 com 19 por cento de descontoR$136,99kg por R$&nbsp;136,99(R$136,99R$136,99/ kg)R$169,90R$169,90Em estoqueEntrega GRATISQuarta-feiraQuarta-feira, 1 kg (Pacote de 1), R$ 136,99 com 19 por cento de desconto, R$136,99";Brasil;15/01/2026;5;Maravilhoso! Sabor e aromas deliciosos. Acidez não deixa o café amargo é uma experiência revigorante esse café.;https://www.amazon.com.br/dp/B07HDSL78H
4;4;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;14,84;4,6;3.992;"Você economiza 10% em entregas recorrentes deste produto por meio do: Potencial de economia anual:, Saiba mais | .sp_detail2_sponsored_label {         color #555555;         font-size 11px;     }     .sp_detail2_info_icon {         width 11px;         vertical-align text-bottom;         fill #969696;     }     .sp_info_link {         text-decorationnone !important;     }          #sp_detail2_hide_feedback_string {         display none;     }          .sp_detail2_sponsored_labelhover {         color #111111;     }     .sp_detail2_sponsored_labelhover .sp_detail2_info_icon {         fill #555555;     }: Patrocinado";Brasil;15/01/2026;5;Doce de leite sem açúcar de ótima qualidade. Textura muito boa, saboroso! Comprarei novamente.;https://www.amazon.com.br/dp/B07Y2GTX9G
5;5;Alimentos e Bebidas;B0B6LG6C73;Brigadeiro de Colher FLORMEL Zero Açúcar 200 gramas;14,84;4,4;937;"Você economiza 10% em entregas recorrentes deste produto por meio do: Potencial de economia anual:, Saiba mais | .sp_detail2_sponsored_label {         color #555555;         font-size 11px;     }     .sp_detail2_info_icon {         width 11px;         vertical-align text-bottom;         fill #969696;     }     .sp_info_link {         text-decorationnone !important;     }          #sp_detail2_hide_feedback_string {         display none;     }          .sp_detail2_sponsored_labelhover {         color #111111;     }     .sp_detail2_sponsored_labelhover .sp_detail2_info_icon {         fill #555555;     }: Patrocinado";Brasil;14/01/2026;5;Maravilhoso!!! Pus para gelar, antes de consumir...Perfeito! Bem chocolatudo, nem parece zero açúcar! AMEI!;https://www.amazon.com.br/dp/B0B6LG6C73
6;6;Alimentos e Bebidas;B09WTLQ53R;Ninho Fases 1 - Fórmula Infantil, 1.2 kg (Pacote de 1);69,2;4,8;9.147;"Tamanho1.2 kg (Pacote de 1): Faça uma seleção de Tamanho, 1.2 kg (Pacote de 1)R$ 69,20R$69,20Quilograma por R$&nbsp;57,67(R$57,67R$57,67/ Quilograma)Em estoqueEntrega GRATISQuarta-feiraQuarta-feira, 1.2 kg (Pacote de 1), R$ 69,20, R$69,20";Brasil;10/01/2026;5;Qualidade, prazo de entrega e sabor.Satisfeitos. Gratidão.;https://www.amazon.com.br/dp/B09WTLQ53R
7;7;Alimentos e Bebidas;B00P9VQCXY;Andorinha - Azeite vidro, Extra virgem, 500ml;34,49;4,9;9.262;".sp_detail2_sponsored_label {         color #555555;         font-size 11px;     }     .sp_detail2_info_icon {         width 11px;         vertical-align text-bottom;         fill #969696;     }     .sp_info_link {         text-decorationnone !important;     }          #sp_detail2_hide_feedback_string {         display none;     }          .sp_detail2_sponsored_labelhover {         color #111111;     }     .sp_detail2_sponsored_labelhover .sp_detail2_info_icon {         fill #555555;     }: Patrocinado";Brasil;22/11/2025;1;O produto veio em uma caixa bem embalado, porém ao abrir a caixa um cheiro muito forte de sabão em pó ou outro produto não sei… tão forte que joguei a caixa fora fora pois empreguinou e exalou por toda a casa, o pior é que o odor passou para os vidros de azeite e mesmo lavando não sai e tenho certeza que passou para o produto. Outra coisa o azeite é não elegível para devolução.;https://www.amazon.com.br/dp/B00P9VQCXY
8;8;Alimentos e Bebidas;B07XTJJR2J;Molico Leite Em Pó Desnatado Total Cálcio 500G;19,99;4,8;3.004;"Tamanho500 g (Pacote de 1): Faça uma seleção de Tamanho, 280 g (Pacote de 1)R$ 20,39R$20,39kg por R$&nbsp;72,82(R$72,82R$72,82/ kg)Em estoqueEntrega GRATISQuarta-feiraQuarta-feira, 280 g (Pacote de 1), R$ 20,39, R$20,39";Brasil;08/12/2025;5;Este leite é maravilhoso e nutritivo um ótimo cálcio. Preço bom. A entrega chegou antes do prazo. Entrega top.;https://www.amazon.com.br/dp/B07XTJJR2J
9;9;Alimentos e Bebidas;B09M2B14V7;YoPRO Bebida Láctea UHT Chocolate 15g de proteínas 250ml - 12 unidades;87,99;4,7;23.496;"Tamanho250 ml (Pacote de 12): Faça uma seleção de Tamanho, 250 ml (Pacote de 1)R$ 9,89R$9,89l por R$&nbsp;39,56(R$39,56R$39,56/ l)Somente 4 em estoque.Entrega GRATISQuinta-feiraQuinta-feira, 250 ml (Pacote de 1), R$ 9,89, R$9,89";Brasil;06/01/2026;5;Ótimo pós treino;https://www.amazon.com.br/dp/B09M2B14V7
10;10;Alimentos e Bebidas;B08KSVQ62G;Café em Cápsula NESCAFÉ DOLCE GUSTO Mochaccino Canela 10 Cápsulas;17,9;4,8;7.770;".sp_detail2_sponsored_label {         color #555555;         font-size 11px;     }     .sp_detail2_info_icon {         width 11px;         vertical-align text-bottom;         fill #969696;     }     .sp_info_link {         text-decorationnone !important;     }          #sp_detail2_hide_feedback_string {         display none;     }          .sp_detail2_sponsored_labelhover {         color #111111;     }     .sp_detail2_sponsored_labelhover .sp_detail2_info_icon {         fill #555555;     }: Patrocinado";Brasil;11/01/2026;5;Produto maravilhoso. Um dos melhores sabores.Caixa vem bem lacrada e intacta.;https://www.amazon.com.br/dp/B08KSVQ62G
